281.76  281.59  281.43  281.27  281.12  280.97  280.82  280.68  280.53  280.39  280.26  
282.12  281.95  281.78  281.62  281.46  281.31  281.16  281.01  280.87  280.72  280.58  
282.39  282.22  282.06  281.90  281.74  281.59  281.44  281.29  281.15  281.01  280.87  
282.69  282.52  282.35  282.19  282.03  281.87  281.71  281.56  281.41  281.27  281.13  
283.15  282.98  282.81  282.64  282.47  282.31  282.15  282.00  281.84  281.69  281.55  
283.35  283.17  283.00  282.83  282.67  282.51  282.35  282.19  282.04  281.89  281.75  
283.50  283.32  283.15  282.99  282.82  282.66  282.50  282.35  282.20  282.05  281.90  
283.83  283.65  283.48  283.31  283.14  282.98  282.82  282.67  282.52  282.37  282.22  
283.82  283.65  283.48  283.31  283.15  282.99  282.83  282.68  282.53  282.38  282.24  
284.06  283.88  283.71  283.55  283.38  283.22  283.07  282.92  282.76  282.62  282.47  
284.41  284.24  284.07  283.90  283.73  283.57  283.41  283.26  283.11  282.96  282.82  
284.50  284.33  284.16  284.00  283.84  283.68  283.53  283.38  283.23  283.08  282.94  
284.77  284.59  284.43  284.26  284.10  283.94  283.79  283.64  283.49  283.34  283.20  
285.24  285.07  284.90  284.73  284.57  284.41  284.25  284.10  283.95  283.80  283.65  
285.57  285.40  285.23  285.07  284.90  284.74  284.59  284.43  284.29  284.14  284.00  
286.05  285.87  285.70  285.53  285.37  285.21  285.05  284.90  284.74  284.59  284.45  
286.54  286.36  286.18  286.01  285.85  285.68  285.52  285.36  285.21  285.06  284.91  
286.63  286.46  286.29  286.12  285.96  285.79  285.64  285.48  285.33  285.18  285.04  
287.16  286.98  286.80  286.63  286.47  286.30  286.14  285.99  285.83  285.68  285.53  
287.46  287.28  287.10  286.93  286.76  286.60  286.44  286.28  286.13  285.98  285.83  
288.25  288.07  287.89  287.72  287.55  287.38  287.21  287.05  286.90  286.74  286.59  
290.15  289.95  289.76  289.57  289.38  289.20  289.02  288.85  288.68  288.51  288.34  
291.50  291.29  291.09  290.89  290.70  290.51  290.32  290.14  289.96  289.78  289.61  
293.40  293.18  292.96  292.75  292.54  292.33  292.13  291.94  291.74  291.55  291.37  
294.50  294.27  294.05  293.82  293.61  293.39  293.19  292.98  292.78  292.59  292.39  
295.40  295.17  294.94  294.71  294.49  294.27  294.05  293.84  293.64  293.44  293.24  
296.80  296.55  296.31  296.07  295.84  295.61  295.39  295.17  294.95  294.74  294.53  
297.48  297.22  296.98  296.74  296.50  296.27  296.04  295.82  295.60  295.38  295.17  
297.82  297.56  297.31  297.07  296.83  296.60  296.37  296.15  295.93  295.71  295.50  
299.56  299.30  299.04  298.78  298.53  298.28  298.04  297.80  297.57  297.34  297.12  
302.29  302.00  301.72  301.44  301.17  300.90  300.64  300.38  300.13  299.88  299.64  
304.69  304.38  304.08  303.78  303.49  303.21  302.93  302.65  302.38  302.12  301.86  
306.59  306.26  305.95  305.64  305.34  305.04  304.75  304.46  304.18  303.91  303.64  
307.74  307.41  307.08  306.77  306.46  306.15  305.85  305.56  305.27  304.99  304.71  
308.88  308.54  308.21  307.89  307.57  307.26  306.95  306.65  306.36  306.07  305.78  
310.37  310.02  309.68  309.34  309.02  308.69  308.38  308.07  307.76  307.47  307.17  
311.50  311.14  310.80  310.45  310.12  309.79  309.47  309.16  308.85  308.54  308.24  
312.32  311.96  311.61  311.26  310.92  310.59  310.27  309.95  309.63  309.32  309.02  
